code,name,country
1201924,224-4036,NJ
1201925,224-6623,NJ
1201926,224-6664,NJ
1201927,224-6664,NJ
1201928,224-9206,NJ
1201929,224-6871,NJ
1201930,224-9206,NJ
1201931,224-9206,NJ
1201933,224-9206,NJ
1201934,224-9206,NJ
1201935,224-9206,NJ
1201936,224-6623,NJ
1201937,224-6391,NJ
1201938,224-9206,NJ
1201939,224-9206,NJ
1201940,224-6088,NJ
1201941,224-9206,NJ
1201942,224-7229,NJ
1201943,224-9206,NJ
1201944,224-9206,NJ
1201945,224-9206,NJ
1201946,224-9206,NJ
1201947,224-9206,NJ
1201949,224-7421,NJ
1201950,99999-MULT,NJ
1201951,224-6664,NJ
1201952,224-6623,NJ
1201953,224-6391,NJ
1201954,224-6232,NJ
1201955,224-9206,NJ
1201956,224-0558,NJ
1201957,224-118F,NJ
1201958,99999-MULT,NJ
1201959,99999-MULT,NJ
1201960,224-4036,NJ
1201961,224-4145,NJ
1201962,224-4948,NJ
1201963,224-9206,NJ
1201964,224-9206,NJ
1201965,224-4036,NJ
1201966,224-6664,NJ
1201967,224-9206,NJ
1201968,224-9206,NJ
1201969,224-9206,NJ
1201970,224-4036,NJ
1201972,224-3639,NJ
1201974,224-9206,NJ
1201975,224-7142,NJ
1201976,224-1913,NJ
1201977,224-4804,NJ
1201978,224-6391,NJ
1201979,224-6630,NJ
1201980,224-9748,NJ
1201981,224-4036,NJ
1201982,224-6623,NJ
1201983,224-8734,NJ
1201984,224-5364,NJ
1201985,224-9206,NJ
1201986,224-9206,NJ
1201987,224-7421,NJ
1201988,224-6391,NJ
1201989,224-551G,NJ
1201990,99999-9206,NJ
1201991,224-9206,NJ
1201992,224-1913,NJ
1201993,224-6623,NJ
1201994,224-9206,NJ
1201995,224-9206,NJ
1201996,224-9206,NJ
1201997,224-9206,NJ
1201998,224-9206,NJ
1201999,99999-9206,NJ
1203121,99999-9147,CT
1203200,920-199F,CT
1203201,920-6630,CT
1203202,920-4950,CT
1203203,99999-MULT,CT
1203204,920-7143,CT
1203205,920-9147,CT
1203206,920-4036,CT
1203207,920-9147,CT
1203208,920-7621,CT
1203209,920-6388,CT
1203210,920-4950,CT
1203211,99999-MULT,CT
1203212,920-4036,CT
1203213,920-4036,CT
1203214,920-4036,CT
1203215,920-4036,CT
1203216,920-4036,CT
1203217,920-4036,CT
1203218,920-4036,CT
1203219,920-4036,CT
1203220,920-4950,CT
1203221,920-9147,CT
1203222,920-9147,CT
1203223,920-6232,CT
1203224,920-9147,CT
1203225,920-9147,CT
1203226,920-9147,CT
1203227,920-9147,CT
1203228,920-6388,CT
1203229,920-9147,CT
1203230,920-9147,CT
1203231,920-6388,CT
1203232,920-6388,CT
1203233,920-6388,CT
1203234,920-9147,CT
1203235,920-9147,CT
1203236,920-9147,CT
1203237,920-9147,CT
1203238,920-9147,CT
1203239,920-9147,CT
1203240,920-6388,CT
1203241,920-6388,CT
1203242,920-4950,CT
1203243,920-6624,CT
1203244,920-4950,CT
1203245,920-9147,CT
1203246,920-6388,CT
1203247,920-6388,CT
1203248,920-9147,CT
1203249,920-6388,CT
1203250,920-9147,CT
1203251,920-9147,CT
1203252,920-4950,CT
1203253,920-6388,CT
1203254,920-9147,CT
1203255,920-9147,CT
1203256,920-9147,CT
1203257,920-6388,CT
1203258,920-6388,CT
1203259,920-9147,CT
1203260,920-4036,CT
1203261,920-9147,CT
1203262,920-9147,CT
1203263,920-9147,CT
1203264,920-9147,CT
1203265,920-9147,CT
1203266,920-9147,CT
1203267,920-9147,CT
1203268,920-9147,CT
1203269,920-9147,CT
1203270,920-9147,CT
1203271,920-9147,CT
1203272,920-9147,CT
1203273,920-6388,CT
1203274,920-4036,CT
1203275,920-9147,CT
1203276,920-4950,CT
1203277,920-7230,CT
1203278,920-6624,CT
1203279,920-6630,CT
1203280,920-7230,CT
1203281,920-9147,CT
1203282,920-6630,CT
1203283,920-4950,CT
1203284,920-9147,CT
1203285,920-7143,CT
1203286,920-3722,CT
1203287,920-9147,CT
1203288,920-9147,CT
1203289,920-6630,CT
1203290,132-4357,CT
1203291,920-9147,CT
1203292,920-4950,CT
1203293,920-7230,CT
1203294,920-9147,CT
1203295,920-7230,CT
1203296,920-7230,CT
1203297,920-7230,CT
1203298,920-4950,CT
1203299,920-9147,CT
1203300,920-6624,CT
1203301,920-9147,CT
1203302,132-7140,CT
1203303,920-7143,CT
1203304,920-7143,CT
1203305,920-4036,CT
1203306,920-2706,CT
1203307,920-7230,CT
1203308,920-6388,CT
1203309,920-6664,CT
1203310,920-7230,CT
1203311,99999-MULT,CT
1203312,920-9147,CT
1203313,920-6388,CT
1203314,920-6388,CT
1203315,920-9147,CT
1203316,920-9147,CT
1203317,920-9147,CT
1203318,920-9147,CT
1203319,920-9147,CT
1203320,920-7230,CT
1203321,920-9147,CT
1203322,920-9147,CT
1203323,920-9147,CT
1203324,920-9147,CT
1203325,920-9147,CT
1203326,920-9147,CT
1203327,920-9147,CT
1203328,920-9147,CT
1203329,920-9147,CT
1203330,920-9147,CT
1203331,920-9147,CT
1203332,920-9147,CT
1203333,920-9147,CT
1203334,920-9147,CT
1203335,920-9147,CT
1203336,920-9147,CT
1203337,920-9147,CT
1203338,920-9147,CT
1203339,920-9147,CT
1203340,132-4950,CT
1203341,920-9147,CT
1203342,920-6630,CT
1203343,920-4036,CT
1203344,920-4950,CT
1203345,920-4950,CT
1203346,920-9147,CT
1203347,132-4800,CT
1203348,920-9147,CT
1203349,920-7143,CT
1203350,920-7143,CT
1203351,920-9147,CT
1203352,920-9147,CT
1203353,920-9147,CT
1203354,920-4950,CT
1203355,920-4950,CT
1203356,920-9147,CT
1203357,920-9147,CT
1203358,920-9147,CT
1203359,920-9147,CT
1203360,920-5562,CT
1203361,920-4800,CT
1203362,920-9147,CT
1203363,920-9147,CT
1203364,920-9147,CT
1203365,920-9147,CT
1203366,920-9147,CT
1203367,920-9147,CT
1203368,920-9147,CT
1203369,920-7230,CT
1203370,920-9748,CT
1203371,920-9147,CT
1203372,920-9147,CT
1203373,920-9147,CT
1203374,920-9147,CT
1203375,920-9147,CT
1203376,920-6388,CT
1203377,920-9147,CT
1203378,920-9147,CT
1203379,920-9147,CT
1203380,920-9147,CT
1203381,920-9147,CT
1203382,920-9147,CT
1203383,920-9147,CT
1203384,920-9147,CT
1203385,920-9147,CT
1203386,920-9147,CT
1203387,920-9147,CT
1203388,920-7230,CT
1203389,920-9147,CT
1203390,920-6630,CT
1203391,920-7230,CT
1203392,920-9147,CT
1203393,920-9147,CT
1203394,920-9147,CT
1203395,920-6232,CT
1203396,920-9147,CT
1203397,920-9147,CT
1203398,920-6630,CT
1203399,920-7230,CT
1203400,920-4036,CT
1203401,920-9147,CT
1203402,920-9147,CT
1203403,920-7143,CT
1203404,920-9841,CT
1203405,920-3083,CT
1203406,920-9147,CT
1203407,920-9147,CT
1203408,920-7421,CT
