country,name,code
US,TN,1423291
US,MI,1248961
US,NC,1919571
US,IL,1779234
US,MD,1443510
US,DE,1302839
US,LA,1225386
US,IL,1217505
US,CA,1310951
US,TX,1903251
US,IN,1574228
US,CA,1909271
US,TX,1210231
US,AZ,1520511
US,MA,1508741
US,PA,1267701
US,PA,1814482
US,VA,1703732
US,PA,1484840
US,FL,1904779
US,MO,1636359
US,WA,1206935
US,CO,1720737
US,PA,1484356
US,MI,1231638
US,OH,1330323
US,TX,1940397
US,OR,1503788
US,TX,1214763
US,MO,1314840
US,MA,1978505
US,KY,1502875
US,OR,1541407
US,OH,1567226
US,MN,1952924
US,UT,1435220
US,KS,1785875
US,MD,1301927
US,AK,1907439
US,IN,1317492
US,NJ,1908915
US,MN,1320527
US,MI,1313883
US,GA,1678590
US,LA,1318544
US,MS,1662612
US,NM,1575343
US,MD,1301548
US,IL,1618607
US,AZ,1520211
US,IL,1309842
US,IL,1309511
US,NC,1910682
US,CA,1707556
US,WI,1920884
US,TX,1832702
US,CA,1661526
US,PA,1272959
US,PA,1814271
US,TX,1817429
US,GA,1706300
US,NY,1585271
US,TX,1817544
US,TX,1361658
US,CA,1213821
US,CA,1661224
US,MD,1240552
US,WI,1414489
US,KY,1270311
US,KS,1785370
US,TX,1713972
US,CA,1650837
US,GA,1229205
US,IL,1224795
US,TX,1210620
US,GA,1470793
US,NY,1585339
US,IA,1563923
US,CA,1530339
US,VA,1276959
US,CA,1626798
US,NY,1518209
US,FL,1904704
US,ID,1208981
US,CA,1408856
US,IL,1618291
US,MI,1248380
US,DC,1202354
US,MA,1617759
US,ID,1208296
US,CA,1760670
US,CA,1805964
US,FL,1561707
US,CA,1707378
US,CT,1475434
US,IL,1630515
US,CA,1559698
US,HI,1808639
US,NY,1646323
US,MI,1269795
US,HI,1808356
US,OH,1740636
US,LA,1504699
US,MD,1443272
US,IL,1618272
US,OK,1918529
US,GA,1678693
US,MN,1612390
US,NC,1828462
US,OH,1419913
US,WI,1920284
US,CT,1860395
US,TN,1931380
US,LA,1337213
US,MS,1228038
US,LA,1225924
US,IL,1773359
US,PA,1570618
US,CT,1860830
US,GA,1678411
US,OH,1513460
US,KY,1859388
US,MA,1781953
US,PA,1724943
US,MD,1443536
US,MA,1774244
US,MD,1443765
US,TX,1956923
US,CO,1970673
US,NY,1716989
US,OH,1419814
US,NC,1919861
US,GA,1912682
US,MI,1989302
US,MO,1660376
US,WV,1304228
US,LA,1318213
US,CA,1415794
US,CA,1714632
US,MN,1612481
US,IL,1815290
US,WV,1304807
US,NY,1212837
US,TN,1931474
US,OK,1580418
US,NC,1704793
US,MI,1586443
US,MD,1301672
US,OH,1614777
US,FL,1727283
US,AZ,1520907
US,CA,1310883
US,GA,1770478
US,NY,1716998
US,LA,1318265
US,CO,1719980
US,OH,1513299
US,CA,1510986
US,CA,1707256
US,WI,1715670
US,PA,1412249
US,IN,1812442
US,CA,1805348
US,NY,1585644
US,NC,1704416
US,PA,1412969
US,AL,1251232
US,MN,1507601
US,CO,1719462
US,KY,1606371
US,MD,1410378
US,OK,1918676
US,MN,1507331
US,CA,1858275
US,RI,1401552
US,PA,1267239
US,MI,1810600
US,MN,1507428
US,TX,1254537
US,CT,1203800
US,NV,1702638
US,MN,1507940
US,TN,1865301
US,TX,1817244
US,TX,1512944
US,MO,1314449
US,KS,1785678
US,AZ,1602819
US,OR,1503409
US,NJ,1973861
US,NJ,1732961
US,RI,1401921
US,UT,1801546
US,FL,1786786
US,CA,1909420
US,FL,1239565
US,CO,1720319
US,TN,1615710
US,TX,1210661
US,NC,1919485
US,TX,1915590
US,FL,1239280
US,CA,1310211
US,MD,1443207
US,PA,1717446
US,WI,1414383
US,WI,1715322
US,WA,1206959
US,NV,1775575
US,NH,1603681
US,CA,1530398
US,OH,1330700
US,CA,1714391
US,NM,1575602
US,TX,1254295
US,AL,1205925
US,TX,1281800
US,OK,1918542
US,KY,1270853
US,VA,1540759
US,MA,1781768
US,ID,1208734
US,MO,1417429
US,MA,1781304
US,GA,1912832
US,GA,1770749
US,ID,1208988
US,NY,1646884
US,FL,1954966
US,NC,1919791
US,NM,1575912
US,MA,1413553
US,TX,1432344
US,MA,1978646
US,NJ,1973393
US,AZ,1928505
US,NY,1315580
US,GA,1478979
US,MI,1616514
US,MD,1301512
US,ID,1208229
US,MI,1586463
US,MI,1989383
US,NV,1702795
US,GA,1912230
US,MD,1301810
US,NJ,1973744
US,AL,1205474
US,IA,1319752
US,MA,1781390
US,OK,1918828
US,IN,1765686
US,IN,1765436
US,ND,1701972
US,SC,1864415
US,KS,1620332
US,PA,1717489
US,TX,1903495
US,CA,1323989
US,NY,1914745
US,CA,1707542
US,OH,1937222
US,NY,1716541
US,TX,1409753
US,IL,1224555
US,NJ,1856286
US,SC,1864433
US,KS,1785334
US,IL,1309677
US,VA,1540611
US,TX,1512535
US,NM,1505634
US,IN,1812697
US,TX,1512968
US,GA,1229405
US,KY,1502531
US,CA,1818771
US,MO,1573604
US,CA,1626715
US,OH,1614221
US,TN,1615519
US,OR,1503363
US,NH,1603928
US,CA,1650248
US,CA,1818390
US,CA,1714606
US,TN,1901385
US,MS,1601598
US,NY,1315209
US,NJ,1908342
US,NY,1631712
US,OR,1503956
US,CA,1925295
US,CA,1530419
US,TX,1972302
US,OH,1234500
US,NC,1252360
US,OK,1918752
US,CA,1818779
US,MO,1573225
US,CO,1970273
US,KS,1913578
US,GA,1706681
US,MN,1651456
US,CA,1619315
US,KS,1913216
US,OK,1405534
US,TX,1214471
US,NY,1917831
US,NY,1716381
US,OH,1614652
US,NE,1308464
US,GA,1770964
US,IL,1312217
US,NV,1702390
US,CA,1408787
US,CA,1415829
US,IL,1815479
US,IN,1317928
US,NJ,1973949
US,TX,1972386
US,TN,1865294
US,IA,1712384
US,MI,1231250
US,NC,1336483
US,NE,1402561
US,NC,1919491
US,GA,1404794
US,FL,1863934
US,MI,1734422
US,ND,1701661
US,NY,1845461
US,OH,1330390
US,CT,1203917
US,VA,1571989
US,TX,1214448
US,SC,1843785
US,IL,1224372
US,IA,1563529
US,PA,1717207
US,MS,1601732
US,OK,1580337
US,AZ,1480740
US,IA,1712370
US,OK,1405825
US,ME,1207974
US,IL,1224280
US,WA,1206650
US,NJ,1908374
US,KY,1606390
US,OR,1541959
US,NY,1516242
US,GA,1678617
US,OR,1503775
US,FL,1727409
US,NE,1402763
US,CT,1203655
US,IL,1847756
US,TX,1469422
US,GA,1404548
US,CA,1925952
US,CO,1970258
US,VA,1804732
US,IL,1773492
US,MA,1508852
US,IN,1219804
US,AR,1501884
US,IL,1773851
US,SD,1605734
US,WI,1715369
US,TX,1210823
US,IL,1618692
US,MO,1417639
US,OR,1503765
US,CA,1510583
US,FL,1561283
US,KS,1913439
